sa1_code_2016;Total
20202102909;0,00000000000000e+00
20202102910;9,98018681614002e+00
20202102911;9,06025810670036e-03
20202102912;9,40404390986997e+00
20202102913;7,13258767935949e-02
20202103001;2,43109679761192e-01
20202103002;5,84661426475770e-02
20202103003;2,13844383801659e+00
20202103004;3,06554507994976e-02
20202103005;9,07920997012533e-03
20202103006;0,00000000000000e+00
20202103007;0,00000000000000e+00
20202103008;0,00000000000000e+00
20202103009;3,84748388322624e+00
20202103010;1,96862797657747e+01
20202103011;6,08096434059262e+00
20202103012;1,06584883906335e+01
20202103013;5,10185379852863e+01
20202103014;3,02351302640042e+01
20202103015;1,03769764748328e+02
20202103016;5,07938722400042e+01
20202103018;3,49281442205910e+01
20202103019;3,51212936527633e+01
20202103020;2,39106987392926e+01
20202103021;1,53066279851419e+01
20202103022;5,87681983738806e+00
20202103023;5,12832888041299e+01
20202103024;0,00000000000000e+00
20202103025;5,51233387550655e-01
20202103101;4,19921562324970e+01
20202103102;2,59105214690463e+01
20202103103;2,62913633075477e-01
20202103104;0,00000000000000e+00
20202103105;5,69275959136022e-01
20202103106;2,85036597626350e-01
20202103107;8,20577336247109e-02
20202103108;3,06074846794262e-01
20202103109;0,00000000000000e+00
20202103110;0,00000000000000e+00
20202103111;9,72230521224972e+00
20202103112;1,71951549283251e+01
20202103113;1,38732282354968e+01
20202103114;1,81591343228198e+01
20202103115;8,52468747645140e+01
20202103116;2,57700933654437e+01
20203103201;1,39596663814859e-01
20203103202;9,48232740317469e+00
20203103203;4,36472606674782e+00
20203103204;1,91635021261801e-03
20203103205;1,54802242696653e-02
20203103206;0,00000000000000e+00
20203103207;0,00000000000000e+00
20203103208;0,00000000000000e+00
20203103209;0,00000000000000e+00
20203103210;0,00000000000000e+00
20203103211;1,35787751309039e-02
20203103212;1,09211926835779e-03
20203103213;1,90738847679176e+00
20203103301;7,62320233179721e-01
20203103302;7,68845989212762e-01
20203103303;3,74104518479360e-04
20203103304;9,06660027007831e-03
20203103305;1,76212841531093e-02
20203103306;0,00000000000000e+00
20203103307;2,48287973199571e-05
20203103308;0,00000000000000e+00
20203103309;0,00000000000000e+00
20203103310;0,00000000000000e+00
20203103311;0,00000000000000e+00
20203103312;2,67331170769904e-02
20203103313;0,00000000000000e+00
20203103314;8,47151487348094e-01
20203103315;0,00000000000000e+00
20203103316;0,00000000000000e+00
20203103317;7,67459766290308e-03
20203103318;0,00000000000000e+00
20203103319;4,41378561494776e+00
20203103320;4,65292225603714e+00
20203103321;3,82650805016984e-01
20203103322;4,77216707307781e-01
20301103401;0,00000000000000e+00
20301103402;0,00000000000000e+00
20301103403;2,18128164870130e-01
20301103404;0,00000000000000e+00
20301103405;1,49617069773029e-01
20301103407;0,00000000000000e+00
20301103408;3,45025942253195e+00
20301103409;2,87338238997077e-01
20301103410;2,65022476291964e-02
20301103411;0,00000000000000e+00
20301103412;0,00000000000000e+00
20301103413;1,74213722290015e+00
20301103501;0,00000000000000e+00
20301103502;2,67585816861328e+00
20301103503;2,10686058620379e+00
20301103504;0,00000000000000e+00
20301103505;0,00000000000000e+00
20301103506;0,00000000000000e+00
20301103507;0,00000000000000e+00
20301103508;0,00000000000000e+00
20301103509;4,24873947003418e-04
20301103510;3,05668079359363e-03
20301103511;0,00000000000000e+00
20301103512;6,02206998778808e-03
20301103513;1,32992464982271e-03
20301103514;0,00000000000000e+00
20301103515;0,00000000000000e+00
20301103516;0,00000000000000e+00
20301103601;8,20178028215709e+00
20301103602;0,00000000000000e+00
20301103603;0,00000000000000e+00
20301103604;0,00000000000000e+00
20301103605;0,00000000000000e+00
20301103606;0,00000000000000e+00
20301103607;0,00000000000000e+00
20301103608;0,00000000000000e+00
20301103609;0,00000000000000e+00
20301103610;0,00000000000000e+00
20301103611;3,26882293915005e-02
20301103612;0,00000000000000e+00
20301103613;1,51144117534487e+00
20301103614;0,00000000000000e+00
20301103615;1,27105809779040e+00
20301103616;1,64115281679110e-01
20302103701;1,35690653364006e+02
20302103702;1,25435459260607e+02
20302103703;1,38649525507152e+02
20302103704;1,88995585928214e+02
20302103705;1,11243783360539e+02
20302103706;2,28792839644673e+02
20302103707;1,59538350020481e+02
20302103708;6,20258981933757e+01
20302103709;2,71615348181072e+02
20302103710;5,25624685460666e+02
20302103711;3,25233726302756e+02
20302103712;2,60849090120441e+02
20302103713;1,96503785165723e+02
20302103714;2,01496752129086e+02
20302103715;1,74004505405804e-01
20302103716;1,22119941811017e+02
20302103717;6,29579804008866e+01
20302103718;1,71169357440977e+02
20302103719;1,76570521030962e+02
20302103720;2,61169207039967e+02
20302103721;8,66103590081845e+01
20302103722;1,31429104817700e+02
20302103723;2,13494165329812e+02
20302103724;3,45216943584132e+02
20302103725;3,76449165920355e+02
20302103726;6,50407076768818e+02
20302103727;4,49040784786279e+02
20302103728;2,19791740418566e+02
20302103729;4,51807450870539e+02
20302103730;7,26718941969206e+01
20302103731;4,03126504658322e+02
20302103732;1,24712984725683e+02
20302103801;9,91442394156190e+01
20302103802;3,56158931692180e+02
20302103803;1,88403311726560e+01
20302103804;3,24661624472446e+02
20302103805;1,09670799153902e+03
20302103806;8,12499955495784e+02
20302103807;1,19237879439311e+03
20302103808;2,79143125006071e+02
20302103809;5,58247838385889e+02
20302103810;2,23690361277340e+02
20302103811;3,59184016854031e+02
20302103812;5,24656312801007e+02
20302103813;1,94108009546559e+02
20302103814;3,80239585419413e+02
